TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,LATITUDE,LONGITUDE,SUBWAY_STATION,DISTANCE,KINDERGARTEN,SCHOOL,COLLEGE,CAFE,BAR,PARKING,SUPERMARKET,ZIP_CODE
House,1425000.0,5,4,2184.207862,New York,Queens County,Queens,63rd Avenue,40.7399679,-73.826261,Mets-Willets Point LIRR Platform,2042.667654627212,1.0,7.0,0.0,9.0,2.0,33.0,20.0,11367
Multi-family home,1595000.0,6,6,2367.3662896,New York,Kings County,Brooklyn,Herkimer Street,40.6777679,-73.9189779,Rockaway Avenue Station,452.03937781531977,2.0,17.0,0.0,31.0,22.0,4.0,17.0,11233
Multi-family home,1495000.0,3,6,2281.7247172,New York,Kings County,Brooklyn,Bay Ridge Avenue,40.6137576,-73.9878002,Bay Parkway & 66 Street,491.77785620045233,1.0,16.0,0.0,24.0,0.0,0.0,19.0,11204
Multi-family home,2375000.0,4,4,2184.207862,New York,Kings County,Brooklyn,18th Street,40.6537775,-73.9770686,Church Ave,1014.9905093559092,29.0,34.0,0.0,74.0,29.0,0.0,31.0,11218
House,1248000.0,4,2,2450.0,United States,New York,Kings County,Avenue S,40.6056129,-73.9396751,Bay Parkway & 66 Street,3680.828677809101,1.0,21.0,1.0,10.0,3.0,1.0,13.0,11229
Co-op,399000.0,1,1,675.0,New York County,New York,Manhattan,4489,40.8581217,-73.9322431,190th St (A) lower level,95.04169083225604,0.0,21.0,0.0,13.0,9.0,3.0,12.0,10040
Co-op,2388800.0,4,2,3594.0,New York County,New York,Manhattan,35,40.7338734,-73.9921219,Broadway & 23rd Street at Southeast Corner,845.3028302181922,12.0,49.0,7.0,454.0,342.0,21.0,93.0,10003
Co-op,475000.0,3,1,2184.207862,New York County,New York,Manhattan,535,40.7662222,-73.9516342,72nd Street & 2nd Avenue at Southeast Corner,622.9023267693822,2.0,31.0,1.0,144.0,55.0,14.0,46.0,10021
Co-op,1577800.0,4,6,2267.6,New York County,New York,Manhattan,1228,40.7825765,-73.9578338,East 86th Street & Lexington Avenue at Northwest Corner,357.61957610208634,13.0,56.0,1.0,174.0,67.0,18.0,54.0,10128
Pending,1295000.0,1,1,2184.207862,New York County,New York,Manhattan,55,40.7722757,-73.979081,6th Avenue & 57th Street at Southwest Corner,904.3493981764906,4.0,45.0,3.0,242.0,104.0,37.0,40.0,10023
Co-op,825000.0,2,2,2184.207862,New York County,New York,Manhattan,150,40.7636334,-73.9803004,53rd Street & 7th Avenue at Northeast Corner,134.5076726101954,6.0,40.0,5.0,341.0,129.0,56.0,51.0,10019
Multi-family home,1849000.0,6,3,3001.0,New York,Kings County,Brooklyn,16th Street,40.6648195,-73.9891783,4th Ave - 9th Street (R) to Queens,622.5923583676843,47.0,21.0,0.0,127.0,52.0,0.0,40.0,11215
Co-op,699000.0,1,1,700.0,New York County,New York,Manhattan,12,40.776434,-73.9771489,Broadway & 86th St,1325.9332590862523,7.0,52.0,3.0,202.0,79.0,36.0,40.0,10023
Pending,420000.0,1,1,2184.207862,New York County,New York,Manhattan,18,40.7661564,-73.9700846,East 60th Street & Lexington Avenue at Northwest Corner,399.39344993926625,3.0,47.0,4.0,315.0,111.0,51.0,55.0,10065
Condo,320000.0,2,1,802.0,Bronx County,The Bronx,Parkchester,1705,40.840912,-73.8545918,Castle Hill Avenue NE Corner,775.6427322339298,0.0,15.0,0.0,6.0,2.0,2.0,13.0,10462
Co-op,525000.0,1,1,2184.207862,New York County,New York,Manhattan,1160,40.7670221,-73.9628426,East 68th Street & Lexington Avenue at Southeast Corner,120.40247328978488,1.0,36.0,2.0,238.0,82.0,30.0,47.0,10065
Co-op,650000.0,2,2,2184.207862,New York County,New York,Manhattan,435,40.7581185,-73.9620574,East 53rd Street & 3rd Avenue at Northeast Corner,596.4026505302062,8.0,27.0,5.0,241.0,65.0,37.0,46.0,10022
Co-op,1650000.0,1,1,2184.207862,New York County,New York,Manhattan,170,40.7737439,-73.9586221,East 77th Street & Lexington Avenue at Northeast Corner,90.1851010162439,4.0,46.0,1.0,181.0,71.0,17.0,44.0,10075
Co-op,1425000.0,2,2,2184.207862,New York County,New York,Manhattan,340,40.7730858,-73.9528703,83rd Street & 2nd Avenue at Northeast Corner,329.35929456340364,3.0,37.0,1.0,132.0,46.0,14.0,41.0,10075
Condo,418000.0,1,1,684.0,Queens County,Queens,College Point,120-17,40.7946644,-73.8473931,7 Train Stair Entrance,4150.155436435889,0.0,1.0,0.0,1.0,0.0,0.0,2.0,11356
Multi-family home,1399000.0,5,6,3448.0,New York,Kings County,Brooklyn,East 72nd Street,40.6255774,-73.913355,East New York Entrance,5643.126390920885,0.0,6.0,0.0,5.0,0.0,2.0,4.0,11234
House,339000.0,2,1,700.0,New York,Richmond County,Staten Island,Center Place,40.5633004,-74.1004012,Bay Parkway & 66 Street,11436.705070177217,1.0,1.0,0.0,8.0,0.0,0.0,2.0,10306
Pending,599900.0,6,4,2184.207862,New York,Richmond County,Staten Island,Westervelt Avenue,40.6412495,-74.083228,4th Ave - 9th Street (R) to Bay Ridge,8625.140931151696,3.0,4.0,1.0,9.0,4.0,1.0,3.0,10301
Co-op,400000.0,1,1,2184.207862,Queens County,Queens,Astoria,21-55,40.762146,-73.9318948,"Queens Plaza (E,M,R)",1536.2974724559492,2.0,10.0,0.0,94.0,53.0,4.0,33.0,11106
House,699000.0,3,1,2091.8831448,New York,Queens County,Queens,114th Drive,40.6969277,-73.7655056,Platform A,1496.2013441392814,0.0,9.0,0.0,0.0,0.0,1.0,9.0,11412
Condo,1325000.0,2,2,2184.207862,New York County,New York,Manhattan,40,40.7622732,-73.9767193,6th Avenue & 56th Street at Southeast Corner,149.3402405685212,6.0,42.0,6.0,355.0,128.0,58.0,54.0,10019
Condo,1750000.0,6,3,3364.0,New York,Kings County,Brooklyn,Nostrand Avenue,40.6585715,-73.9507462,Eastern Parkway - Brooklyn Museum,1863.063796847476,18.0,30.0,0.0,41.0,21.0,0.0,16.0,11225
Multi-family home,2100000.0,3,3,2000.0,New York,Kings County,Brooklyn,West 9th Street,40.6756187,-74.0002793,4th Ave - 9th Street (R) to Bay Ridge,1124.452305991874,56.0,25.0,0.0,154.0,74.0,0.0,50.0,11231
