TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,LATITUDE,LONGITUDE,SUBWAY_STATION,DISTANCE,KINDERGARTEN,SCHOOL,COLLEGE,CAFE,BAR,PARKING,SUPERMARKET,ZIP_CODE
Condo,315000.0,2,2,1400.0,New York,Manhattan,East 55th Street,Regis Residence,40.761255,-73.9744834,6th Avenue & 56th Street at Southeast Corner,361.44125331505006,6.0,42.0,6.0,353.0,122.0,57.0,54.0,10022
Condo,522000.0,7,2,2273.3247172,New York,New York County,New York,West 57th Street,40.7663935,-73.9809909,6th Avenue & 57th Street at Southwest Corner,384.8298871920225,3.0,41.0,4.0,327.0,120.0,44.0,46.0,10019
Condo,69000.0,3,1,445.0,New York,New York County,New York,East 55th Street,40.7613979,-73.9746128,6th Avenue & 56th Street at Southeast Corner,342.8442274730939,6.0,41.0,6.0,355.0,122.0,57.0,54.0,10022
House,690000.0,5,2,2133.1247172000003,New York,Kings County,Brooklyn,Park Place,40.6743632,-73.9587248,Eastern Parkway - Brooklyn Museum,518.6489711630844,33.0,32.0,1.0,142.0,82.0,5.0,48.0,11238
Condo,899500.0,2,2,2184.207862,New York County,New York,Manhattan,157,40.809448,-73.946777,Lenox Avenue & 125th Street at Northwest Corner,192.79669675427755,4.0,68.0,2.0,65.0,19.0,2.0,38.0,10027
House,1028400.0,4,3,2150.4,New York,Richmond County,Staten Island,Benedict Road,40.5950017,-74.1064235,Bay Parkway & 66 Street,10712.489551610694,0.0,1.0,0.0,3.0,0.0,0.0,4.0,10304
Co-op,265000.0,1,1,750.0,The Bronx,East Bronx,Morrison Avenue,Parking lot,40.8215857,-73.8740892,Southern Boulevard (exit only),1478.5913054315397,1.0,28.0,0.0,3.0,1.0,4.0,7.0,10473
Co-op,440000.0,2,1,978.0,Kings County,Brooklyn,Midwood,1350,40.6157378,-73.9696944,Bay Parkway & 66 Street,1090.9874825119182,0.0,26.0,1.0,13.0,0.0,3.0,18.0,11230
Co-op,375000.0,2,1,850.0,Bronx County,The Bronx,Concourse Village,800,40.8248699,-73.9229829,Lenox Avenue & 145th Street at Northeast Corner,1190.3499934596912,0.0,76.0,1.0,7.0,5.0,2.0,17.0,10451
Co-op,259000.0,3,1,2184.207862,Queens County,Queens,Flushing,34-41,40.7531191,-73.8818757,Elmhurst Avenue,1249.069554802918,1.0,6.0,0.0,23.0,19.0,5.0,40.0,11372
Co-op,430000.0,2,2,2184.207862,Queens County,Queens,Elmhurst,91-15,40.7438639,-73.8745722,Elmhurst Avenue,621.9956493949385,2.0,10.0,0.0,29.0,17.0,7.0,44.0,11373
Co-op,895000.0,3,1,2184.207862,New York County,New York,Manhattan,61,40.7382981,-74.0058899,Broadway & 23rd Street at Southeast Corner,1455.129121184548,6.0,31.0,6.0,308.0,208.0,16.0,53.0,10014
Townhouse,975000.0,3,2,1734.0,New York,Queens County,Queens,Hobart Street,40.7607676,-73.9056672,Platform A,1599.0284914092829,0.0,9.0,0.0,90.0,71.0,0.0,39.0,11377
Co-op,199000.0,3,1,325.0,Kings County,Brooklyn,Fort Hamilton,9430,40.6181029,-74.0369047,Bay Parkway & 66 Street,4674.303095933713,5.0,2.0,0.0,25.0,6.0,1.0,13.0,11209
Co-op,350000.0,1,1,700.0,Bronx County,The Bronx,North Riverdale,5800,40.9073699,-73.9065578,Bedford park Blvd.,4181.290145721875,0.0,9.0,0.0,2.0,1.0,9.0,4.0,10471
Condo,599000.0,2,2,974.0,Queens County,Queens,Rego Park,92-29,40.7324713,-73.8670804,67th Avenue,1313.0868510200105,1.0,7.0,0.0,19.0,4.0,20.0,30.0,11374
House,639999.0,3,2,1260.0,New York,Richmond County,Staten Island,Clove Way,40.6207403,-74.1114362,Bay Parkway & 66 Street,10980.310794140838,1.0,0.0,0.0,2.0,0.0,0.0,4.0,10301
Condo,1300000.0,2,2,1244.0,Queens County,Queens,Forest Hills,10724,40.7202429,-73.8430513,Platform A,160.84877632949193,4.0,11.0,1.0,21.0,4.0,54.0,19.0,11375
Multi-family home,1100000.0,6,3,2837.0,New York,Bronx County,The Bronx,Throgs Neck Expressway,40.8343936,-73.8221101,Castle Hill Avenue NE Corner,2480.5935922538474,0.0,10.0,0.0,1.0,1.0,2.0,3.0,10465
Condo,349900.0,1,1,651.0,Richmond County,Staten Island,Dongan Hills,165,40.5902064,-74.0958034,Bay Parkway & 66 Street,9953.09205981156,0.0,1.0,0.0,3.0,0.0,0.0,6.0,10304
Multi-family home,1690000.0,6,4,2200.0,New York,Queens County,Queens,85th Road,40.710749,-73.809486,"Sutphin Boulevard-Archer Avenue JFK Station (E, J, Z)",1105.391753924221,2.0,10.0,1.0,12.0,13.0,10.0,22.0,11435
Co-op,325000.0,1,1,2184.207862,Queens County,Queens,Jackson Heights,35-45,40.7505078,-73.8851355,Elmhurst Avenue,1007.676447438449,1.0,7.0,0.0,29.0,22.0,5.0,41.0,11372
Co-op,230000.0,1,1,2184.207862,New York,Queens County,Queens,Junction Boulevard,40.7557689,-73.8734231,Elmhurst Avenue,1685.4245347839096,1.0,7.0,0.0,20.0,19.0,5.0,40.0,11372
Multi-family home,1299888.0,6,6,3156.0,Richmond County,Staten Island,Clifton,310,40.6155667,-74.0869554,Bay Parkway & 66 Street,8879.946882661874,0.0,3.0,0.0,3.0,2.0,2.0,4.0,10304
Multi-family home,925000.0,5,2,2750.0,New York,Bronx County,The Bronx,Hollywood Avenue,40.8242389,-73.8173809,Castle Hill Avenue NE Corner,3089.993109463763,0.0,8.0,0.0,1.0,0.0,0.0,0.0,10465
Condo,329000.0,1,2,794.0,New York,Richmond County,Staten Island,Lynn Court,40.6210398,-74.1504313,Grove Street (PATH),14218.135200892208,3.0,2.0,0.0,5.0,1.0,0.0,6.0,10314
Multi-family home,1300000.0,5,5,2720.0415724,Richmond County,Staten Island,Mariners Harbor,366,40.6274381,-74.1581613,Grove Street (PATH),14124.133049907345,3.0,1.0,0.0,2.0,1.0,0.0,6.0,10303
Multi-family home,848000.0,5,4,2080.0,New York,Kings County,Brooklyn,Hinsdale Street,40.6615475,-73.898309,East New York Entrance,1621.3027329758052,1.0,13.0,0.0,1.0,1.0,0.0,7.0,11207
Co-op,279000.0,1,1,750.0,Kings County,Brooklyn,Midwood,1801,40.6179165,-73.9546305,Bay Parkway & 66 Street,2385.7899131719523,0.0,27.0,1.0,8.0,1.0,5.0,7.0,11230
Condo,528000.0,1,1,602.0,Kings County,Brooklyn,Dyker Heights,1238,40.6275896,-74.0016198,Bay Parkway & 66 Street,2315.3063092788484,3.0,13.0,0.0,39.0,6.0,0.0,34.0,11219
Multi-family home,1299888.0,6,4,3156.0,Richmond County,Staten Island,Clifton,310,40.6155667,-74.0869554,Bay Parkway & 66 Street,8879.946882661874,0.0,3.0,0.0,3.0,2.0,2.0,4.0,10304
Co-op,275000.0,1,1,2184.207862,Queens County,Queens,Flushing,44-55,40.7528774,-73.8211834,Platform B,958.4837309785008,1.0,10.0,0.0,31.0,4.0,6.0,28.0,11355
Condo,1165000.0,1,1,815.0,Kings County,Brooklyn,Williamsburg,338,40.711969,-73.9649468,Bedford Av Subway Station L line,868.4526377905248,7.0,49.0,0.0,96.0,112.0,1.0,40.0,11249
Multi-family home,700000.0,6,2,3053.0,New York,Bronx County,The Bronx,West Tremont Avenue,40.852813,-73.9176871,181st Street,1368.1910298224443,0.0,39.0,0.0,9.0,9.0,7.0,22.0,10453
Multi-family home,2150000.0,5,4,3200.0,New York,Kings County,Brooklyn,63rd Street,40.614446,-73.9795824,Bay Parkway & 66 Street,265.25340254616805,0.0,24.0,1.0,24.0,0.0,3.0,21.0,11204
Multi-family home,1280000.0,7,5,2460.0,New York,Queens County,Queens,91st Avenue,40.688312,-73.856322,111 Street,1889.5622652671168,2.0,8.0,0.0,2.0,2.0,1.0,2.0,11421
Co-op,199900.0,1,1,2184.207862,Bronx County,The Bronx,Concourse,828,40.8260352,-73.9256625,Lenox Avenue & 145th Street at Northeast Corner,1055.222854681874,0.0,72.0,2.0,12.0,6.0,2.0,16.0,10451
Co-op,369000.0,2,1,2184.207862,Queens County,Queens,Flushing,43-40,40.753455,-73.8209077,Platform B,937.1129730634168,1.0,10.0,0.0,30.0,4.0,6.0,28.0,11355
Multi-family home,699000.0,4,3,1591.0,New York,Queens County,Queens,141st Street,40.6847504,-73.8027331,Tracks 11 & 12,1688.025132176699,0.0,4.0,0.0,1.0,5.0,1.0,14.0,11435
Co-op,1077400.0,3,2,2400.0,New York County,New York,Manhattan,123,40.725464,-73.9999212,Broadway & Houston Street at Southeast Corner,279.5728720654707,10.0,47.0,5.0,425.0,322.0,14.0,86.0,10012
Multi-family home,825000.0,2,2,2184.207862,New York,Queens County,Queens,Jordan Street,40.768457,-73.789417,Platform B,1214.4482639315186,0.0,6.0,0.0,7.0,3.0,0.0,2.0,11358
Condo,329000.0,2,1,837.0,Richmond County,Staten Island,Mid Island,55,40.6315346,-74.0856344,Bay Parkway & 66 Street,9001.065724205915,3.0,5.0,1.0,8.0,4.0,1.0,3.0,10304
Multi-family home,889000.0,2,2,1520.0,New York,Richmond County,Staten Island,South Greenleaf Avenue,40.6233188,-74.1259917,Bay Parkway & 66 Street,12231.869941670542,0.0,0.0,0.0,2.0,0.0,0.0,6.0,10314
Multi-family home,769000.0,2,2,2184.207862,New York,Queens County,Queens,112th Street,40.6868333,-73.8309133,111 Street,1254.5672459429866,1.0,8.0,0.0,1.0,7.0,1.0,11.0,11419
Multi-family home,1200000.0,4,2,2536.0,New York,Kings County,Brooklyn,Bay 22nd Street,40.6042861,-74.0012526,Bay Parkway & 66 Street,1889.450668296984,1.0,8.0,0.0,23.0,0.0,0.0,13.0,11214
Co-op,220500.0,2,1,900.0,Richmond County,Staten Island,Mid Island,350,40.6481488,-74.0847983,4th Ave - 9th Street (R) to Bay Ridge,8492.836305760131,2.0,3.0,1.0,7.0,2.0,0.0,3.0,10301
Multi-family home,1999000.0,3,3,2739.0,New York,Kings County,Brooklyn,80th Street,40.6281691,-74.0297598,Bay Parkway & 66 Street,4372.474390335477,7.0,4.0,0.0,51.0,9.0,1.0,22.0,11209
Co-op,2087000.0,2,2,1300.0,New York,Manhattan,Centre Street,The Police Building,40.7199716,-73.9980266,Broadway & Houston Street at Southeast Corner,594.7586141810912,11.0,39.0,6.0,417.0,296.0,14.0,86.0,10013
Condo,1650000.0,2,2,1267.0,Kings County,Brooklyn,Cobble Hill,473,40.6866098,-73.9997131,4th Ave - 9th Street (R) to Bay Ridge,2009.793967779415,48.0,26.0,1.0,140.0,66.0,1.0,49.0,11231
House,998800.0,3,4,2400.0,New York,Richmond County,Staten Island,Clove Road,40.6175,-74.103996,Bay Parkway & 66 Street,10329.3603311728,1.0,2.0,0.0,1.0,0.0,1.0,3.0,10301
House,998800.0,3,4,2400.0,United States,New York,Richmond County,Mid Island,40.618648,-74.1019085,Bay Parkway & 66 Street,10159.910211120296,1.0,3.0,0.0,1.0,0.0,1.0,2.0,10301
Co-op,849000.0,1,1,2184.207862,New York County,New York,Manhattan,263,40.7802357,-73.9846328,Broadway & 86th St,1115.82645467187,6.0,33.0,2.0,122.0,63.0,29.0,24.0,10023
Co-op,559500.0,1,1,800.0,Kings County,Brooklyn,Brighton Beach,50,40.5751942,-73.9669983,Bay Parkway & 66 Street,4387.652784845762,2.0,4.0,0.0,17.0,8.0,3.0,11.0,11235
Co-op,750000.0,1,1,835.0,New York County,New York,Manhattan,333,40.7643711,-73.9593578,63rd Street & 3rd Avenue at Northeast Corner,436.0980643529247,2.0,31.0,1.0,202.0,64.0,25.0,41.0,10065
Condo,1900000.0,2,2,1029.0,New York County,New York,Manhattan,150,40.7193408,-73.9856438,Allen St & Houston St,474.62412795946454,12.0,36.0,5.0,338.0,264.0,9.0,81.0,10002
Condo,1250000.0,2,2,1201.0,Kings County,Brooklyn,Flatbush,1105,40.6400234,-73.9676099,Church Ave,1072.5374149412148,8.0,30.0,0.0,32.0,10.0,0.0,24.0,11218
Condo,1395000.0,2,2,1182.0,Kings County,Brooklyn,Prospect Heights,737,40.6787789,-73.9643728,Eastern Parkway - Brooklyn Museum,739.5866616318306,40.0,34.0,1.0,177.0,102.0,5.0,62.0,11238
Co-op,198000.0,1,1,2184.207862,Queens County,Queens,Woodhaven,83-55,40.700309,-73.8535466,111 Street,1430.3201267008271,1.0,8.0,0.0,6.0,1.0,3.0,7.0,11421
Contingent,619888.0,3,2,1400.0,New York,Richmond County,Staten Island,Center Place,40.5632116,-74.1002521,Bay Parkway & 66 Street,11430.4230819456,1.0,1.0,0.0,8.0,0.0,0.0,2.0,10306
Condo,1595000.0,3,3,1413.0,New York,Kings County,Brooklyn,Lafayette Avenue,40.6915139,-73.935444,Nostrand Avenue Station Entrance,1778.7341342958896,3.0,24.0,2.0,99.0,91.0,2.0,34.0,11221
Condo,655000.0,3,2,803.0,New York,Kings County,Brooklyn,Jefferson Avenue,40.6967268,-73.9074036,Stanhope St & Wycoff Ave - SE Corner,1133.3012112421122,1.0,32.0,0.0,79.0,80.0,3.0,39.0,11237
Condo,1175000.0,2,2,1115.0,Kings County,Brooklyn,Bedford-Stuyvesant,924,40.6915139,-73.935444,Nostrand Avenue Station Entrance,1778.7341342958896,3.0,24.0,2.0,99.0,91.0,2.0,34.0,11221
Multi-family home,798000.0,3,4,2150.0,New York,Richmond County,Staten Island,Father Capodanno Boulevard,40.5874844,-74.0701056,Bay Parkway & 66 Street,7971.491152705904,2.0,0.0,0.0,2.0,0.0,0.0,4.0,10305
Condo,1008600.0,3,4,1742.5247172000004,New York County,New York,Manhattan,111,40.764953,-73.977568,6th Avenue & 57th Street at Southwest Corner,81.2020135102618,6.0,41.0,4.0,334.0,121.0,52.0,54.0,10019
Condo,1650000.0,2,2,1065.0,New York County,New York,Manhattan,200,40.7833546,-73.9499982,94th Street & 2nd Avenue at Southwest Corner,151.7161668384599,8.0,40.0,0.0,109.0,42.0,12.0,45.0,10128
Townhouse,2008800.0,5,4,3344.0,New York,New York County,New York,West 11th Street,40.7363219,-74.0018035,Broadway & 23rd Street at Southeast Corner,1200.6150178493492,4.0,37.0,6.0,388.0,291.0,18.0,70.0,10014
Condo,1109799.8,3,2,2223.0,New York County,New York,Manhattan,250,40.736608,-73.9822819,Broadway & 23rd Street at Southeast Corner,761.4229570977787,14.0,39.0,8.0,424.0,282.0,33.0,77.0,10010
Multi-family home,250000.0,5,2,2184.207862,New York,Queens County,Queens,150th Street,40.66911,-73.789339,Platform B,2098.578778379032,0.0,1.0,0.0,0.0,1.0,0.0,5.0,11436
House,585000.0,3,2,1100.0,New York,Richmond County,Staten Island,Colfax Avenue,40.5784263,-74.105437,Bay Parkway & 66 Street,11125.575056295796,1.0,2.0,0.0,10.0,0.0,0.0,3.0,10306
House,628200.0,6,6,2184.207862,New York,Kings County,Brooklyn,Narrows Avenue,40.6282935,-74.0379695,Bay Parkway & 66 Street,5025.2975520207,6.0,2.0,0.0,41.0,7.0,1.0,16.0,11209
House,595000.0,3,1,1316.0,New York,Kings County,Brooklyn,East 48th Street,40.6239146,-73.9291226,Bay Parkway & 66 Street,4641.854860031277,0.0,9.0,0.0,4.0,0.0,4.0,3.0,11234
Condo,215000.0,1,1,625.0,New York County,New York,Manhattan,195,40.7267732,-74.002538,Broadway & Houston Street at Southeast Corner,528.262922420793,9.0,45.0,6.0,419.0,316.0,14.0,80.0,10012
House,314000.0,3,1,1572.0,New York,Kings County,Brooklyn,East 39th Street,40.6362368,-73.939679,Church Ave,3465.045250979122,2.0,18.0,0.0,6.0,3.0,2.0,3.0,11210
Condo,395000.0,5,1,1000.0,New York,New York County,New York,East 71st Street,40.7700395,-73.9638872,East 68th Street & Lexington Avenue at Northwest Corner,228.17685806092288,3.0,49.0,2.0,235.0,93.0,33.0,53.0,10021
Multi-family home,600000.0,2,2,2184.207862,New York,Bronx County,The Bronx,Mac Donough Place,40.8429545,-73.8249591,Castle Hill Avenue NE Corner,2436.353645170943,0.0,10.0,0.0,2.0,1.0,0.0,3.0,10465
Multi-family home,790000.0,6,3,2520.0,New York,Richmond County,Staten Island,Mountainview Avenue,40.6105856,-74.1268175,Bay Parkway & 66 Street,12252.02641246266,0.0,3.0,0.0,3.0,0.0,0.0,4.0,10314
Co-op,539000.0,2,2,1100.0,Kings County,Brooklyn,Fort Hamilton,9425,40.6170731,-74.0383836,Bay Parkway & 66 Street,4786.424559389211,5.0,2.0,0.0,23.0,5.0,1.0,13.0,11209
Co-op,1295000.0,4,2,1995.0,Bronx County,The Bronx,Spuyten Duyvil,2501,40.8809873,-73.9224337,190th St (A) lower level,2600.787490483004,0.0,11.0,0.0,7.0,8.0,5.0,7.0,10463
House,245000.0,3,1,2184.207862,New York,Bronx County,The Bronx,Lurting Avenue,40.8690109,-73.8564445,Baychester Avenue & Tillotson Avenue (Exit only),1942.3664891091696,0.0,22.0,0.0,0.0,1.0,1.0,5.0,10469
House,400000.0,7,3,2385.0,New York,Bronx County,The Bronx,East 234th Street,40.8969146,-73.8654984,Baychester Avenue,3015.7365332429745,0.0,15.0,0.0,2.0,11.0,0.0,9.0,10470
House,863800.0,3,3,2290.5247172000004,New York,New York County,New York,Riverside Drive,40.782238,-73.9846322,Broadway & 86th St,944.7809563694308,7.0,30.0,2.0,110.0,44.0,26.0,27.0,10023
Co-op,280000.0,1,1,1000.0,Kings County,Brooklyn,Bay Ridge,8015,40.6241766,-74.0216837,Bay Parkway & 66 Street,3574.115573937376,8.0,3.0,0.0,54.0,9.0,1.0,26.0,11209
Pending,739000.0,6,4,2184.207862,New York,Kings County,Brooklyn,Dare Court,40.5877991,-73.9216187,Bay Parkway & 66 Street,5832.221282451126,0.0,5.0,0.0,1.0,3.0,0.0,1.0,11229
House,2067000.0,5,2,3528.0,New York,Kings County,Brooklyn,4th Street,40.6680619,-73.9748375,"7th Avenue (F,G)",429.8153546739207,61.0,32.0,0.0,166.0,81.0,3.0,50.0,11215
Condo,325000.0,2,1,979.0,New York County,New York,Manhattan,122,40.7897507,-73.9487257,East 103rd Street & Lexington Avenue at Southwest Corner,93.59076294124054,12.0,57.0,0.0,99.0,39.0,13.0,50.0,10029
Pending,299999.0,3,1,2184.207862,New York County,New York,Manhattan,215,40.7810583,-73.9808407,Broadway & 86th St,878.4395345071057,8.0,37.0,2.0,129.0,54.0,27.0,30.0,10023
Townhouse,2695000.0,6,5,2281.7247172,New York,New York County,New York,Convent Avenue,40.8235127,-73.9467514,Broadway & 145th Street at Southeast Corner,429.1263438614064,1.0,47.0,3.0,27.0,11.0,3.0,20.0,10031
House,694000.0,3,3,1360.0,New York,Richmond County,Staten Island,Armstrong Avenue,40.5423126,-74.1555672,Bay Parkway & 66 Street,16655.166328179086,1.0,0.0,0.0,2.0,2.0,0.0,2.0,10308
House,688888.0,4,2,2846.0,New York,Bronx County,The Bronx,South Oak Drive,40.8726182,-73.8651768,Bedford Park Blvd.,1879.3960843489551,0.0,24.0,0.0,1.0,1.0,1.0,6.0,10467
House,400000.0,4,2,1980.0,New York,Kings County,Brooklyn,Shepherd Avenue,40.665357,-73.8770867,East New York Entrance,2458.156465709787,1.0,11.0,0.0,0.0,0.0,0.0,5.0,11208
Multi-family home,346000.0,5,2,2184.207862,New York,Queens County,Queens,104th Street,40.6837891,-73.8381042,111 Street,1478.1005608488067,1.0,9.0,0.0,1.0,5.0,2.0,9.0,11417
House,265000.0,3,1,2184.207862,New York,Queens County,Queens,224th Street,40.67538,-73.7472571,224th Street Entrance,854.8745297854765,1.0,6.0,0.0,1.0,2.0,2.0,6.0,11413
House,319000.0,3,2,1224.0,New York,Richmond County,Staten Island,Neutral Avenue,40.5604695,-74.1018925,Bay Parkway & 66 Street,11701.124054455044,1.0,1.0,0.0,8.0,0.0,0.0,2.0,10306
Townhouse,1077800.0,6,4,2184.207862,New York,New York County,New York,East 74th Street,40.772929,-73.9635462,East 77th Street & Lexington Avenue at Southwest Corner,306.90382500125173,5.0,56.0,2.0,229.0,92.0,30.0,54.0,10021
House,1100000.0,6,4,3276.0,New York,New York County,New York,West 154th Street,40.8307115,-73.9424229,Saint Nicholas Ave & 155th St At Sw Corner,68.2046633189684,1.0,36.0,2.0,18.0,6.0,4.0,15.0,10032
Multi-family home,309000.0,6,2,2184.207862,New York,Queens County,Queens,Brookhaven Avenue,40.5980695,-73.7632649,Broad Channel Station,4597.736506351587,0.0,5.0,0.0,0.0,0.0,0.0,2.0,11691
House,650000.0,3,2,1522.0,New York,Queens County,Queens,93rd Road,40.723245,-73.7293286,Platform A,438.6870807696112,0.0,2.0,0.0,3.0,1.0,1.0,5.0,11426
Co-op,259000.0,3,2,1089.0,New York,Bronx County,The Bronx,Edgewater Park,40.8246371,-73.8072061,Castle Hill Avenue NE Corner,3889.796399854208,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10465
Condo,1148000.0,5,6,2191.6415724,New York,New York County,New York,Warren Street,40.7143354,-74.0087443,Greenwich St & Vesey St,324.65357282939516,8.0,26.0,2.0,287.0,152.0,10.0,58.0,10007
Condo,189000.0,2,2,966.0,Richmond County,Staten Island,Shore Acres,20,40.6109595,-74.060351,Bay Parkway & 66 Street,6628.093277689175,0.0,1.0,0.0,2.0,1.0,0.0,1.0,10305
Condo,759000.0,3,2,1200.0,Queens County,Queens,Bayside,206-4,40.7881763,-73.7877051,Platform A - Overpass,3065.616573603416,0.0,5.0,0.0,1.0,0.0,0.0,1.0,11360
House,275000.0,4,1,2184.207862,New York,Kings County,Brooklyn,East 29th Street,40.6366859,-73.9488175,Church Ave,2702.3574341550716,5.0,20.0,0.0,14.0,7.0,2.0,6.0,11210
Condo,499000.0,1,1,630.0,New York County,New York,Manhattan,157,40.7702318,-73.9610161,72nd Street & 2nd Avenue at Northwest Corner,258.0891747459138,2.0,44.0,1.0,202.0,79.0,25.0,48.0,10021
Co-op,69900.0,2,1,700.0,New York,Bronx County,The Bronx,Edgewater Park,40.8224987,-73.8111568,Castle Hill Avenue NE Corner,3649.4061211628623,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10465
Multi-family home,1150000.0,3,6,2564.2415723999998,New York,Queens County,Queens,48th Street,40.755049,-73.9136386,Platform A,1256.3328635591292,0.0,9.0,0.0,94.0,70.0,1.0,42.0,11103
Co-op,1399000.0,3,4,1993.0,Queens County,Queens,Glen Oaks,26910,40.7566899,-73.72075,Platform A,2620.165936321315,0.0,3.0,0.0,3.0,1.0,0.0,4.0,11005
Condo,649000.0,3,2,1182.0,Queens County,Queens,Fresh Meadows,163-4,40.7302938,-73.8059248,"Hillside Ave 169 St, Northwest corner",2409.638209027438,3.0,2.0,0.0,17.0,4.0,18.0,17.0,11365
House,499000.0,5,2,1760.0,New York,Bronx County,The Bronx,Marion Avenue,40.8663864,-73.8878945,Bedford Park Blvd.,639.2061557464588,0.0,34.0,0.0,3.0,3.0,8.0,16.0,10458
Multi-family home,1050000.0,5,4,3132.0,New York,Bronx County,The Bronx,Miles Avenue,40.8176549,-73.8197053,Castle Hill Avenue NE Corner,3260.5287050837724,0.0,8.0,0.0,1.0,0.0,0.0,0.0,10465
Townhouse,697800.0,2,2,1608.9247172,New York,New York County,New York,West 80th Street,40.7832598,-73.976047,Broadway & 86th St,572.0298316736615,11.0,42.0,1.0,142.0,42.0,29.0,41.0,10024
Pending,90000.0,1,1,660.0,New York,Richmond County,Staten Island,Mapleton Avenue,40.574451,-74.0929448,Bay Parkway & 66 Street,10315.145068336316,1.0,1.0,0.0,8.0,0.0,0.0,2.0,10306
House,1550000.0,3,3,2290.6,New York,New York County,New York,West 54th Street,40.7616,-73.9761913,6th Avenue & 56th Street at Southeast Corner,236.25029133559812,6.0,42.0,6.0,354.0,125.0,59.0,54.0,10019
Condo,500000.0,4,3,1794.0,New York County,New York,Manhattan,251,40.7905714,-73.9753392,Broadway & 86th St,276.5410011305351,13.0,32.0,0.0,108.0,40.0,13.0,29.0,10024
House,350000.0,2,1,490.0,New York,Richmond County,Staten Island,Patterson Avenue,40.5731273,-74.089182,Bay Parkway & 66 Street,10089.926336314466,0.0,1.0,0.0,7.0,0.0,0.0,1.0,10306
House,1099000.0,4,2,2184.207862,New York,Queens County,Queens,9th Avenue,40.5595612,-73.9147409,Beach 116th,6950.1853911353655,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11697
Co-op,90000.0,1,1,450.0,Bronx County,The Bronx,Highbridge,1383,40.8423705,-73.9234444,181st Street,1146.5033765360745,0.0,34.0,0.0,13.0,5.0,4.0,16.0,10452
House,839000.0,4,2,2184.207862,New York,Queens County,Queens,87th Street,40.6590909,-73.8451972,111 Street,4272.960081804941,0.0,2.0,0.0,1.0,0.0,2.0,1.0,11414
House,659000.0,4,3,2184.207862,New York,Queens County,Queens,111th Avenue,40.688533,-73.796529,Tracks 11 & 12,1528.145589086497,0.0,3.0,0.0,2.0,2.0,2.0,15.0,11435
House,399999.0,3,1,2184.207862,New York,Queens County,Queens,Beach 24th Street,40.5950021,-73.7577376,Broad Channel Station,5138.552860013645,0.0,4.0,0.0,0.0,0.0,0.0,2.0,11691
Condo,250000.0,3,1,2184.207862,Kings County,Brooklyn,Sheepshead Bay,3105,40.5997081,-73.9344974,Bay Parkway & 66 Street,4288.595163125191,1.0,13.0,0.0,6.0,3.0,1.0,7.0,11229
House,650000.0,4,2,2244.0,New York,Queens County,Queens,220th Street,40.6968706,-73.7390395,Platform B,2256.5925029869577,0.0,7.0,0.0,0.0,0.0,0.0,4.0,11411
House,1880000.0,3,4,3150.0,New York,Kings County,Brooklyn,Bayview Avenue,40.5805262,-74.0061062,Bay Parkway & 66 Street,4140.026100406244,0.0,1.0,0.0,1.0,1.0,1.0,2.0,11224
Co-op,449000.0,2,2,1549.0,Queens County,Queens,Glen Oaks,26910,40.7577991,-73.7159564,Platform B,2811.1611483891065,0.0,4.0,0.0,2.0,1.0,4.0,3.0,11005
House,1175000.0,3,2,2250.0,New York,Queens County,Queens,B 140 Street,40.57372,-73.8577786,Beach 116th,1883.4122472817648,0.0,1.0,0.0,1.0,0.0,0.0,2.0,11694
Townhouse,2750000.0,3,2,2184.207862,New York,New York County,New York,Gay Street,40.7336687,-74.000518,Broadway & Houston Street at Northeast Corner,968.2458744206112,9.0,41.0,7.0,419.0,335.0,17.0,85.0,10014
House,995000.0,3,2,2184.207862,New York,Queens County,Queens,83rd Street,40.657686,-73.8489131,111 Street,4486.0099985626775,0.0,2.0,0.0,1.0,0.0,2.0,3.0,11414
Condo,2000000.0,3,2,2000.0,New York,Manhattan,Rector Place,Liberty Court,40.7086444,-74.0161953,Greenwich St & Vesey St,559.7275959051955,2.0,13.0,2.0,161.0,51.0,14.0,32.0,10280
Townhouse,777999.0,3,6,2184.207862,New York,Kings County,Brooklyn,Pierrepont Street,40.6948972,-73.9925741,East Broadway (F),1990.5068668986464,41.0,30.0,1.0,173.0,70.0,5.0,53.0,11201
House,1178999.8,4,6,1447.8,New York,Richmond County,Staten Island,Copperleaf Terrace,40.5861193,-74.1075476,Bay Parkway & 66 Street,11031.73427890754,1.0,1.0,0.0,8.0,0.0,0.0,2.0,10304
House,2600000.0,5,4,3024.0,New York,Queens County,Queens,27th Avenue,40.7780417,-73.7739629,Platform A - Overpass,1643.825546303039,0.0,4.0,0.0,5.0,1.0,1.0,1.0,11360
Townhouse,612600.0,6,6,1094.6415724,New York,New York County,New York,Hamilton Terrace,40.8229141,-73.9460622,Broadway & 145th Street at Southeast Corner,517.208897051259,1.0,53.0,3.0,29.0,11.0,3.0,21.0,10031
Co-op,550000.0,1,1,2184.207862,New York County,New York,Manhattan,609,40.7887084,-73.9700091,Broadway & 86th St,580.8169253072859,15.0,36.0,0.0,148.0,59.0,16.0,44.0,10024
